<Tue May 27 15:19:33 EDT 2014><org.apache.felix.framework>JProbe started.
<Tue May 27 15:19:33 EDT 2014><plugins.functions.gui>Function menu started.
<Tue May 27 15:19:33 EDT 2014><plugins.dataviewer.gui>DataViewer started.
<Tue May 27 15:19:34 EDT 2014><plugins.testDataAndFunction.Activator>TestPlugin started.
<Tue May 27 15:19:45 EDT 2014><plugins.functions.gui>test clicked
<Tue May 27 15:19:57 EDT 2014><plugins.functions.gui>test clicked
<Tue May 27 15:20:02 EDT 2014><plugins.functions.gui>test clicked
<Tue May 27 15:20:07 EDT 2014><plugins.functions.gui>long clicked
<Tue May 27 15:20:08 EDT 2014><plugins.testDataAndFunction.Activator>Running long function
<Tue May 27 15:20:08 EDT 2014><plugins.testDataAndFunction.Activator>Progress = 1
<Tue May 27 15:20:08 EDT 2014><plugins.testDataAndFunction.Activator>Progress = 2
<Tue May 27 15:20:08 EDT 2014><plugins.testDataAndFunction.Activator>Progress = 3
<Tue May 27 15:20:08 EDT 2014><plugins.testDataAndFunction.Activator>Progress = 4
<Tue May 27 15:20:08 EDT 2014><plugins.testDataAndFunction.Activator>Progress = 5
<Tue May 27 15:20:08 EDT 2014><plugins.testDataAndFunction.Activator>Progress = 6
<Tue May 27 15:20:08 EDT 2014><plugins.testDataAndFunction.Activator>Progress = 7
<Tue May 27 15:20:08 EDT 2014><plugins.testDataAndFunction.Activator>Progress = 8
<Tue May 27 15:20:09 EDT 2014><plugins.testDataAndFunction.Activator>Progress = 9
<Tue May 27 15:20:09 EDT 2014><plugins.testDataAndFunction.Activator>Progress = 10
<Tue May 27 15:20:09 EDT 2014><plugins.testDataAndFunction.Activator>Progress = 11
<Tue May 27 15:20:09 EDT 2014><plugins.testDataAndFunction.Activator>Progress = 12
<Tue May 27 15:20:09 EDT 2014><plugins.testDataAndFunction.Activator>Progress = 13
<Tue May 27 15:20:09 EDT 2014><plugins.testDataAndFunction.Activator>Progress = 14
<Tue May 27 15:20:09 EDT 2014><plugins.testDataAndFunction.Activator>Progress = 15
<Tue May 27 15:20:09 EDT 2014><plugins.testDataAndFunction.Activator>Progress = 16
<Tue May 27 15:20:09 EDT 2014><plugins.testDataAndFunction.Activator>Progress = 17
<Tue May 27 15:20:09 EDT 2014><plugins.testDataAndFunction.Activator>Progress = 18
<Tue May 27 15:20:10 EDT 2014><plugins.testDataAndFunction.Activator>Progress = 19
<Tue May 27 15:20:10 EDT 2014><plugins.testDataAndFunction.Activator>Progress = 20
<Tue May 27 15:20:10 EDT 2014><plugins.testDataAndFunction.Activator>Progress = 21
<Tue May 27 15:20:10 EDT 2014><plugins.testDataAndFunction.Activator>Progress = 22
<Tue May 27 15:20:10 EDT 2014><plugins.testDataAndFunction.Activator>Progress = 23
<Tue May 27 15:20:10 EDT 2014><plugins.testDataAndFunction.Activator>Progress = 24
<Tue May 27 15:20:10 EDT 2014><plugins.testDataAndFunction.Activator>Progress = 25
<Tue May 27 15:20:10 EDT 2014><plugins.testDataAndFunction.Activator>Progress = 26
<Tue May 27 15:20:10 EDT 2014><plugins.testDataAndFunction.Activator>Progress = 27
<Tue May 27 15:20:10 EDT 2014><plugins.testDataAndFunction.Activator>Progress = 28
<Tue May 27 15:20:11 EDT 2014><plugins.testDataAndFunction.Activator>Progress = 29
<Tue May 27 15:20:11 EDT 2014><plugins.testDataAndFunction.Activator>Progress = 30
<Tue May 27 15:20:11 EDT 2014><plugins.testDataAndFunction.Activator>Progress = 31
<Tue May 27 15:20:11 EDT 2014><plugins.testDataAndFunction.Activator>Progress = 32
<Tue May 27 15:20:11 EDT 2014><plugins.testDataAndFunction.Activator>Progress = 33
<Tue May 27 15:20:11 EDT 2014><plugins.testDataAndFunction.Activator>Progress = 34
<Tue May 27 15:20:11 EDT 2014><plugins.testDataAndFunction.Activator>Progress = 35
<Tue May 27 15:20:11 EDT 2014><plugins.testDataAndFunction.Activator>Progress = 36
