<Fri Mar 21 15:37:19 EDT 2014><org.apache.felix.framework>JProbe started.
<Fri Mar 21 15:37:20 EDT 2014><plugins.dataviewer.gui>DataViewer started.
<Fri Mar 21 15:37:20 EDT 2014><plugins.functions.gui>Function menu started.
<Fri Mar 21 15:37:20 EDT 2014><plugins.testDataAndFunction.Activator>TestPlugin started.
<Fri Mar 21 15:37:20 EDT 2014><plugins.genome>GenomeFunctionPrototype "Find peaks" added by bundle "chiptools.jprobe"
<Fri Mar 21 15:38:07 EDT 2014><plugins.testDataAndFunction.Activator>Running long function
<Fri Mar 21 15:38:07 EDT 2014><plugins.testDataAndFunction.Activator>Progress = 1
<Fri Mar 21 15:38:07 EDT 2014><plugins.testDataAndFunction.Activator>Progress = 2
<Fri Mar 21 15:38:07 EDT 2014><plugins.testDataAndFunction.Activator>Progress = 3
<Fri Mar 21 15:38:07 EDT 2014><plugins.testDataAndFunction.Activator>Progress = 4
<Fri Mar 21 15:38:07 EDT 2014><plugins.testDataAndFunction.Activator>Progress = 5
<Fri Mar 21 15:38:08 EDT 2014><plugins.testDataAndFunction.Activator>Progress = 6
<Fri Mar 21 15:38:08 EDT 2014><plugins.testDataAndFunction.Activator>Progress = 7
<Fri Mar 21 15:38:08 EDT 2014><plugins.testDataAndFunction.Activator>Progress = 8
<Fri Mar 21 15:38:08 EDT 2014><plugins.testDataAndFunction.Activator>Progress = 9
<Fri Mar 21 15:38:08 EDT 2014><plugins.testDataAndFunction.Activator>Progress = 10
<Fri Mar 21 15:38:08 EDT 2014><plugins.testDataAndFunction.Activator>Progress = 11
<Fri Mar 21 15:38:08 EDT 2014><plugins.testDataAndFunction.Activator>Progress = 12
<Fri Mar 21 15:38:08 EDT 2014><plugins.testDataAndFunction.Activator>Progress = 13
<Fri Mar 21 15:38:08 EDT 2014><plugins.testDataAndFunction.Activator>Progress = 14
<Fri Mar 21 15:38:08 EDT 2014><plugins.testDataAndFunction.Activator>Progress = 15
<Fri Mar 21 15:38:09 EDT 2014><plugins.testDataAndFunction.Activator>Progress = 16
<Fri Mar 21 15:38:09 EDT 2014><plugins.testDataAndFunction.Activator>Progress = 17
<Fri Mar 21 15:38:09 EDT 2014><plugins.testDataAndFunction.Activator>Progress = 18
<Fri Mar 21 15:38:09 EDT 2014><plugins.testDataAndFunction.Activator>Progress = 19
<Fri Mar 21 15:38:09 EDT 2014><plugins.testDataAndFunction.Activator>Progress = 20
<Fri Mar 21 15:38:09 EDT 2014><plugins.testDataAndFunction.Activator>Progress = 21
<Fri Mar 21 15:38:09 EDT 2014><plugins.testDataAndFunction.Activator>Progress = 22
<Fri Mar 21 15:38:09 EDT 2014><plugins.testDataAndFunction.Activator>Progress = 23
<Fri Mar 21 15:38:09 EDT 2014><plugins.testDataAndFunction.Activator>Progress = 24
<Fri Mar 21 15:38:09 EDT 2014><plugins.testDataAndFunction.Activator>Progress = 25
<Fri Mar 21 15:38:10 EDT 2014><plugins.testDataAndFunction.Activator>Progress = 26
<Fri Mar 21 15:38:10 EDT 2014><plugins.testDataAndFunction.Activator>Progress = 27
<Fri Mar 21 15:38:10 EDT 2014><plugins.testDataAndFunction.Activator>Progress = 28
<Fri Mar 21 15:38:10 EDT 2014><plugins.testDataAndFunction.Activator>Progress = 29
<Fri Mar 21 15:38:10 EDT 2014><plugins.testDataAndFunction.Activator>Progress = 30
<Fri Mar 21 15:38:10 EDT 2014><plugins.testDataAndFunction.Activator>Progress = 31
<Fri Mar 21 15:38:10 EDT 2014><plugins.testDataAndFunction.Activator>Progress = 32
<Fri Mar 21 15:38:10 EDT 2014><plugins.testDataAndFunction.Activator>Progress = 33
<Fri Mar 21 15:38:10 EDT 2014><plugins.testDataAndFunction.Activator>Progress = 34
<Fri Mar 21 15:38:10 EDT 2014><plugins.testDataAndFunction.Activator>Progress = 35
<Fri Mar 21 15:38:11 EDT 2014><plugins.testDataAndFunction.Activator>Progress = 36
<Fri Mar 21 15:38:11 EDT 2014><plugins.testDataAndFunction.Activator>Progress = 37
<Fri Mar 21 15:38:11 EDT 2014><plugins.testDataAndFunction.Activator>Progress = 38
<Fri Mar 21 15:38:11 EDT 2014><plugins.testDataAndFunction.Activator>Progress = 39
<Fri Mar 21 15:38:11 EDT 2014><plugins.testDataAndFunction.Activator>Progress = 40
